gene_symbol	hgnc_id	omim_disease_id	omim_title	omim_disease_description	omim_description_original	omim_all_criteria_include	omim_molecular_basis_known	omim_type_include	omim_id_include	omim_disease_description_somatic_response_include	gene_include
ADAMTS3	HGNC:219	618154	HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 3	Hennekam lymphangiectasia-lymphedema syndrome 3	Hennekam lymphangiectasia-lymphedema syndrome 3, 618154 (3)	y	y	y	y	y	y
HNF1A	HGNC:11621	142330	HEPATIC ADENOMAS, FAMILIAL	Hepatic adenoma, somatic	Hepatic adenoma, somatic, 142330 (3)	n	y	y	y	n	y
LIPC	HGNC:6619	614025	HEPATIC LIPASE DEFICIENCY	Hepatic lipase deficiency	Hepatic lipase deficiency, 614025 (3)	y	y	y	y	y	y
SP110	HGNC:5401	235550	HEPATIC VENOOCCLUSIVE DISEASE WITH IMMUNODEFICIENCY	Hepatic venoocclusive disease with immunodeficiency	Hepatic venoocclusive disease with immunodeficiency, 235550 (3)	y	y	y	y	y	y
APC	HGNC:583	114550	HEPATOCELLULAR CARCINOMA	Hepatoblastoma, somatic	Hepatoblastoma, somatic, 114550 (3)	n	y	y	y	n	y
PDGFRL	HGNC:8805	114550	HEPATOCELLULAR CARCINOMA	Hepatocellular cancer, somatic	Hepatocellular cancer, somatic, 114550 (3)	n	y	y	y	n	y
MET	HGNC:7029	114550	HEPATOCELLULAR CARCINOMA	Hepatocellular carcinoma, childhood type, somatic	Hepatocellular carcinoma, childhood type, somatic, 114550 (3)	n	y	y	y	n	y
AXIN1	HGNC:903	114550	HEPATOCELLULAR CARCINOMA	Hepatocellular carcinoma, somatic	Hepatocellular carcinoma, somatic, 114550 (3)	n	y	y	y	n	y
CASP8	HGNC:1509	114550	HEPATOCELLULAR CARCINOMA	Hepatocellular carcinoma, somatic	Hepatocellular carcinoma, somatic, 114550 (3)	n	y	y	y	n	y
CTNNB1	HGNC:2514	114550	HEPATOCELLULAR CARCINOMA	Hepatocellular carcinoma, somatic	Hepatocellular carcinoma, somatic, 114550 (3)	n	y	y	y	n	y
IGF2R	HGNC:5467	114550	HEPATOCELLULAR CARCINOMA	Hepatocellular carcinoma, somatic	Hepatocellular carcinoma, somatic, 114550 (3)	n	y	y	y	n	y
PIK3CA	HGNC:8975	114550	HEPATOCELLULAR CARCINOMA	Hepatocellular carcinoma, somatic	Hepatocellular carcinoma, somatic, 114550 (3)	n	y	y	y	n	y
TP53	HGNC:11998	114550	HEPATOCELLULAR CARCINOMA	Hepatocellular carcinoma, somatic	Hepatocellular carcinoma, somatic, 114550 (3)	n	y	y	y	n	y
TULP3	HGNC:12425	619902	HEPATORENOCARDIAC DEGENERATIVE FIBROSIS	Hepatorenocardiac degenerative fibrosis	Hepatorenocardiac degenerative fibrosis, 619902 (3)	y	y	y	y	y	y
HMSN5	-	-	NA	Hereditary motor and sensory neuropathy V (2)	Hereditary motor and sensory neuropathy V (2)	n	n	y	n	y	n
MFN2	HGNC:16877	601152	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, TYPE VIA, WITH OPTIC ATROPHY	Hereditary motor and sensory neuropathy VIA	Hereditary motor and sensory neuropathy VIA, 601152 (3)	y	y	y	y	y	y
TFG	HGNC:11758	604484	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, OKINAWA TYPE	Hereditary motor and sensory neuropathy, Okinawa type	Hereditary motor and sensory neuropathy, Okinawa type, 604484 (3)	y	y	y	y	y	y
TRPV4	HGNC:18083	606071	HEREDITARY MOTOR AND SENSORY NEUROPATHY, TYPE IIC	Hereditary motor and sensory neuropathy, type IIc	Hereditary motor and sensory neuropathy, type IIc, 606071 (3)	y	y	y	y	y	y
HBB	HGNC:4827	141749	FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1	Hereditary persistence of fetal hemoglobin	Hereditary persistence of fetal hemoglobin, 141749 (3)	y	y	y	y	y	y
HPS1	HGNC:5163	203300	HERMANSKY-PUDLAK SYNDROME 1	Hermansky-Pudlak syndrome 1	Hermansky-Pudlak syndrome 1, 203300 (3)	y	y	y	y	y	y
BLOC1S5	HGNC:18561	619172	HERMANSKY-PUDLAK SYNDROME 11	Hermansky-Pudlak syndrome 11	Hermansky-Pudlak syndrome 11, 619172 (3)	y	y	y	y	y	y
AP3B1	HGNC:566	608233	HERMANSKY-PUDLAK SYNDROME 2	Hermansky-Pudlak syndrome 2	Hermansky-Pudlak syndrome 2, 608233 (3)	y	y	y	y	y	y
HPS3	HGNC:15597	614072	HERMANSKY-PUDLAK SYNDROME 3	Hermansky-Pudlak syndrome 3	Hermansky-Pudlak syndrome 3, 614072 (3)	y	y	y	y	y	y
HPS4	HGNC:15844	614073	HERMANSKY-PUDLAK SYNDROME 4	Hermansky-Pudlak syndrome 4	Hermansky-Pudlak syndrome 4, 614073 (3)	y	y	y	y	y	y
HPS5	HGNC:17022	614074	HERMANSKY-PUDLAK SYNDROME 5	Hermansky-Pudlak syndrome 5	Hermansky-Pudlak syndrome 5, 614074 (3)	y	y	y	y	y	y
HPS6	HGNC:18817	614075	HERMANSKY-PUDLAK SYNDROME 6	Hermansky-Pudlak syndrome 6	Hermansky-Pudlak syndrome 6, 614075 (3)	y	y	y	y	y	y
DTNBP1	HGNC:17328	614076	HERMANSKY-PUDLAK SYNDROME 7	Hermansky-Pudlak syndrome 7	Hermansky-Pudlak syndrome 7, 614076 (3)	y	y	y	y	y	y
BLOC1S3	HGNC:20914	614077	HERMANSKY-PUDLAK SYNDROME 8	Hermansky-Pudlak syndrome 8	Hermansky-Pudlak syndrome 8, 614077 (3)	y	y	y	y	y	y
ZIC3	HGNC:12874	306955	HETEROTAXY, VISCERAL, 1, X-LINKED	Heterotaxy, visceral, 1, X-linke	Heterotaxy, visceral, 1, X-linked 306955 (3)	y	y	y	y	y	y
CFAP52	HGNC:16053	619607	HETEROTAXY, VISCERAL, 10, AUTOSOMAL, WITH MALE INFERTILITY	Heterotaxy, visceral, 10, autosomal, with male infertility	Heterotaxy, visceral, 10, autosomal, with male infertility, 619607 (3)	y	y	y	y	y	y
CFAP45	HGNC:17229	619608	HETEROTAXY, VISCERAL, 11, AUTOSOMAL, WITH MALE INFERTILITY	Heterotaxy, visceral, 11, autosomal, with male infertility	Heterotaxy, visceral, 11, autosomal, with male infertility, 619608 (3)	y	y	y	y	y	y
CIROP	HGNC:53647	619702	HETEROTAXY, VISCERAL, 12, AUTOSOMAL	Heterotaxy, visceral, 12, autosomal	Heterotaxy, visceral, 12, autosomal, 619702 (3)	y	y	y	y	y	y
CFC1	HGNC:18292	605376	HETEROTAXY, VISCERAL, 2, AUTOSOMAL	Heterotaxy, visceral, 2, autosomal	Heterotaxy, visceral, 2, autosomal, 605376 (3)	y	y	y	y	y	y
ACVR2B	HGNC:174	613751	HETEROTAXY, VISCERAL, 4, AUTOSOMAL	Heterotaxy, visceral, 4, autosomal	Heterotaxy, visceral, 4, autosomal, 613751 (3)	y	y	y	y	y	y
NODAL	HGNC:7865	270100	HETEROTAXY, VISCERAL, 5, AUTOSOMAL	Heterotaxy, visceral, 5	Heterotaxy, visceral, 5, 270100 (3)	y	y	y	y	y	y
CFAP53	HGNC:26530	614779	HETEROTAXY, VISCERAL, 6, AUTOSOMAL	Heterotaxy, visceral, 6, autosomal recessive	Heterotaxy, visceral, 6, autosomal recessive, 614779 (3)	y	y	y	y	y	y
MMP21	HGNC:14357	616749	HETEROTAXY, VISCERAL, 7, AUTOSOMAL	Heterotaxy, visceral, 7, autosomal	Heterotaxy, visceral, 7, autosomal, 616749 (3)	y	y	y	y	y	y
PKD1L1	HGNC:18053	617205	HETEROTAXY, VISCERAL, 8, AUTOSOMAL	Heterotaxy, visceral, 8, autosomal	Heterotaxy, visceral, 8, autosomal, 617205 (3)	y	y	y	y	y	y
MNS1	HGNC:29636	618948	HETEROTAXY, VISCERAL, 9, AUTOSOMAL, WITH MALE INFERTILITY	Heterotaxy, visceral, 9, autosomal, with male infertility	Heterotaxy, visceral, 9, autosomal, with male infertility, 618948 (3)	y	y	y	y	y	y
FLNA	HGNC:3754	300049	PERIVENTRICULAR NODULAR HETEROTOPIA 1	Heterotopia, periventricular, 1	Heterotopia, periventricular, 1, 300049 (3)	y	y	y	y	y	y
DNMT3A	HGNC:2978	618724	HEYN-SPROUL-JACKSON SYNDROME	Heyn-Sproul-Jackson syndrome	Heyn-Sproul-Jackson syndrome, 618724 (3)	y	y	y	y	y	y
RALA	HGNC:9839	619311	HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME	Hiatt-Neu-Cooper neurodevelopmental syndrome	Hiatt-Neu-Cooper neurodevelopmental syndrome, 619311 (3)	y	y	y	y	y	y
HDLCQ14	-	-	NA	High density lipoprotein cholesterol level QTL14 (2)	High density lipoprotein cholesterol level QTL14 (2)	n	n	y	n	y	n
CREB1	HGNC:2345	612160	HISTIOCYTOMA, ANGIOMATOID FIBROUS	Histiocytoma, angiomatoid fibrous, somatic	Histiocytoma, angiomatoid fibrous, somatic, 612160 (3)	n	y	y	y	n	y
SLC29A3	HGNC:23096	602782	HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME	Histiocytosis-lymphadenopathy plus syndrome	Histiocytosis-lymphadenopathy plus syndrome, 602782 (3)	y	y	y	y	y	y
HLCS	HGNC:4976	253270	HOLOCARBOXYLASE SYNTHETASE DEFICIENCY	Holocarboxylase synthetase deficiency	Holocarboxylase synthetase deficiency, 253270 (3)	y	y	y	y	y	y
HPE1	-	-	NA	Holoprosencephaly 1 (2)	Holoprosencephaly 1 (2)	n	n	y	n	y	n
CDON	HGNC:17104	614226	HOLOPROSENCEPHALY 11	Holoprosencephaly 11	Holoprosencephaly 11, 614226 (3)	y	y	y	y	y	y
CNOT1	HGNC:7877	618500	HOLOPROSENCEPHALY 12 WITH OR WITHOUT PANCREATIC AGENESIS	Holoprosencephaly 12, with or without pancreatic agenesis	Holoprosencephaly 12, with or without pancreatic agenesis, 618500 (3)	y	y	y	y	y	y
STAG2	HGNC:11355	301043	HOLOPROSENCEPHALY 13, X-LINKED	Holoprosencephaly 13, X-linked	Holoprosencephaly 13, X-linked, 301043 (3)	y	y	y	y	y	y
PLCH1	HGNC:29185	619895	HOLOPROSENCEPHALY 14	Holoprosencephaly 14	Holoprosencephaly 14, 619895 (3)	y	y	y	y	y	y
SIX3	HGNC:10889	157170	HOLOPROSENCEPHALY 2	Holoprosencephaly 2	Holoprosencephaly 2, 157170 (3)	y	y	y	y	y	y
SHH	HGNC:10848	142945	HOLOPROSENCEPHALY 3	Holoprosencephaly 3	Holoprosencephaly 3, 142945 (3)	y	y	y	y	y	y
TGIF1	HGNC:11776	142946	HOLOPROSENCEPHALY 4	Holoprosencephaly 4	Holoprosencephaly 4, 142946 (3)	y	y	y	y	y	y
ZIC2	HGNC:12873	609637	HOLOPROSENCEPHALY 5	Holoprosencephaly 5	Holoprosencephaly 5, 609637 (3)	y	y	y	y	y	y
HPE6	-	-	NA	Holoprosencephaly 6 (2)	Holoprosencephaly 6 (2)	n	n	y	n	y	n
PTCH1	HGNC:9585	610828	HOLOPROSENCEPHALY 7	Holoprosencephaly 7	Holoprosencephaly 7, 610828 (3)	y	y	y	y	y	y
HPE8	-	-	NA	Holoprosencephaly 8 (2)	Holoprosencephaly 8 (2)	n	n	y	n	y	n
GLI2	HGNC:4318	610829	HOLOPROSENCEPHALY 9	Holoprosencephaly 9	Holoprosencephaly 9, 610829 (3)	y	y	y	y	y	y
TBX5	HGNC:11604	142900	HOLT-ORAM SYNDROME	Holt-Oram syndrome	Holt-Oram syndrome, 142900 (3)	y	y	y	y	y	y
NNMT	HGNC:7861	-	NA	Homocysteine plasma level (2)	Homocysteine plasma level (2)	n	n	y	n	y	y
MTHFR	HGNC:7436	236250	HOMOCYSTINURIA DUE TO DEFICIENCY OF N(5,10)-METHYLENETETRAHYDROFOLATE REDUCTASE ACTIVITY	Homocystinuria due to MTHFR deficiency	Homocystinuria due to MTHFR deficiency, 236250 (3)	y	y	y	y	y	y
CBS	HGNC:1550	236200	HOMOCYSTINURIA DUE TO CYSTATHIONINE BETA-SYNTHASE DEFICIENCY	Homocystinuria, B6-responsive and nonresponsive types	Homocystinuria, B6-responsive and nonresponsive types, 236200 (3)	y	y	y	y	y	y
MMADHC	HGNC:25221	277410	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblD TYPE	Homocystinuria, cblD type, variant 1	Homocystinuria, cblD type, variant 1, 277410 (3)	y	y	y	y	y	y
MTRR	HGNC:7473	236270	HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA, cblE COMPLEMENTATION TYPE	Homocystinuria-megaloblastic anemia, cbl E type	Homocystinuria-megaloblastic anemia, cbl E type, 236270 (3)	y	y	y	y	y	y
MTR	HGNC:7468	250940	HOMOCYSTINURIA-MEGALOBLASTIC ANEMIA, cblG COMPLEMENTATION TYPE	Homocystinuria-megaloblastic anemia, cblG complementation type	Homocystinuria-megaloblastic anemia, cblG complementation type, 250940 (3)	y	y	y	y	y	y
HTT	HGNC:4851	143100	HUNTINGTON DISEASE	Huntington disease	Huntington disease, 143100 (3)	y	y	y	y	y	y
PRNP	HGNC:9449	603218	HUNTINGTON DISEASE-LIKE 1	Huntington disease-like 1	Huntington disease-like 1, 603218 (3)	y	y	y	y	y	y
JPH3	HGNC:14203	606438	HUNTINGTON DISEASE-LIKE 2	Huntington disease-like 2	Huntington disease-like 2, 606438 (3)	y	y	y	y	y	y
HDL3	-	-	NA	Huntington disease-like 3 (2)	Huntington disease-like 3 (2)	n	y	y	n	y	n
SMARCAD1	HGNC:18398	181600	HURIEZ SYNDROME	Huriez syndrome	Huriez syndrome, 181600 (3)	y	y	y	y	y	y
LMNA	HGNC:6636	176670	HUTCHINSON-GILFORD PROGERIA SYNDROME	Hutchinson-Gilford progeria	Hutchinson-Gilford progeria, 176670 (3)	y	y	y	y	y	y
ANTXR2	HGNC:21732	228600	HYALINE FIBROMATOSIS SYNDROME	Hyaline fibromatosis syndrome	Hyaline fibromatosis syndrome, 228600 (3)	y	y	y	y	y	y
NLRP7	HGNC:22947	231090	HYDATIDIFORM MOLE, RECURRENT, 1	Hydatidiform mole, recurrent, 1	Hydatidiform mole, recurrent, 1, 231090 (3)	y	y	y	y	y	y
KHDC3L	HGNC:33699	614293	HYDATIDIFORM MOLE, RECURRENT, 2	Hydatidiform mole, recurrent, 2	Hydatidiform mole, recurrent, 2, 614293 (3)	y	y	y	y	y	y
MEI1	HGNC:28613	618431	HYDATIDIFORM MOLE, RECURRENT, 3	Hydatidiform mole, recurrent, 3	Hydatidiform mole, recurrent, 3, 618431 (3)	y	y	y	y	y	y
C11orf80	HGNC:26197	618432	HYDATIDIFORM MOLE, RECURRENT, 4	Hydatidiform mole, recurrent, 4	Hydatidiform mole, recurrent, 4, 618432 (3)	y	y	y	y	y	y
ARX	HGNC:18060	300215	LISSENCEPHALY, X-LINKED, 2	Hydranencephaly with abnormal genitalia	Hydranencephaly with abnormal genitalia, 300215 (3)	y	y	y	y	y	y
L1CAM	HGNC:6470	307000	HYDROCEPHALUS DUE TO CONGENITAL STENOSIS OF AQUEDUCT OF SYLVIUS	Hydrocephalus due to aqueductal stenosis	Hydrocephalus due to aqueductal stenosis, 307000 (3)	y	y	y	y	y	y
L1CAM	HGNC:6470	307000	HYDROCEPHALUS DUE TO CONGENITAL STENOSIS OF AQUEDUCT OF SYLVIUS	Hydrocephalus with Hirschsprung disease	Hydrocephalus with Hirschsprung disease, 307000 (3)	y	y	y	y	y	y
L1CAM	HGNC:6470	307000	HYDROCEPHALUS DUE TO CONGENITAL STENOSIS OF AQUEDUCT OF SYLVIUS	Hydrocephalus with congenital idiopathic intestinal pseudoobstruction	Hydrocephalus with congenital idiopathic intestinal pseudoobstruction, 307000 (3)	y	y	y	y	y	y
TRIM71	HGNC:32669	618667	HYDROCEPHALUS, CONGENITAL COMMUNICATING, 1	Hydrocephalus, congenital communicating, 1	Hydrocephalus, congenital communicating, 1, 618667 (3)	y	y	y	y	y	y
CCDC88C	HGNC:19967	236600	HYDROCEPHALUS, CONGENITAL, 1	Hydrocephalus, congenital, 1	Hydrocephalus, congenital, 1, 236600 (3)	y	y	y	y	y	y
MPDZ	HGNC:7208	615219	HYDROCEPHALUS, CONGENITAL, 2, WITH OR WITHOUT BRAIN OR EYE ANOMALIES	Hydrocephalus, congenital, 2, with or without brain or eye anomalies	Hydrocephalus, congenital, 2, with or without brain or eye anomalies, 615219 (3)	y	y	y	y	y	y
WDR81	HGNC:26600	617967	HYDROCEPHALUS, CONGENITAL, 3, WITH BRAIN ANOMALIES	Hydrocephalus, congenital, 3, with brain anomalies	Hydrocephalus, congenital, 3, with brain anomalies, 617967 (3)	y	y	y	y	y	y
CFAP43	HGNC:26684	236690	HYDROCEPHALUS, NORMAL-PRESSURE, 1	Hydrocephalus, normal pressure, 1	Hydrocephalus, normal pressure, 1, 236690 (3)	y	y	y	y	y	y
HYLS1	HGNC:26558	236680	HYDROLETHALUS SYNDROME 1	Hydrolethalus syndrome	Hydrolethalus syndrome, 236680 (3)	y	y	y	y	y	y
LARS2	HGNC:17095	617021	HYDROPS, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA	Hydrops, lactic acidosis, and sideroblastic anemia	Hydrops, lactic acidosis, and sideroblastic anemia, 617021 (3)	y	y	y	y	y	y
MVK	HGNC:7530	260920	HYPER-IgD SYNDROME	Hyper-IgD syndrome	Hyper-IgD syndrome, 260920 (3)	y	y	y	y	y	y
ZNF341	HGNC:15992	618282	HYPER-IgE RECURRENT INFECTION SYNDROME 3, AUTOSOMAL RECESSIVE	Hyper-IgE recurrent infection syndrome 3, autosomal recessive	Hyper-IgE recurrent infection syndrome 3, autosomal recessive, 618282 (3)	y	y	y	y	y	y
IL6ST	HGNC:6021	619752	HYPER-IgE RECURRENT INFECTION SYNDROME 4A, AUTOSOMAL DOMINANT	Hyper-IgE recurrent infection syndrome 4A, autosomal dominant	Hyper-IgE recurrent infection syndrome 4A, autosomal dominant, 619752 (3)	y	y	y	y	y	y
IL6ST	HGNC:6021	618523	HYPER-IgE RECURRENT INFECTION SYNDROME 4B, AUTOSOMAL RECESSIVE	Hyper-IgE recurrent infection syndrome 4B, autosomal recessive	Hyper-IgE recurrent infection syndrome 4B, autosomal recessive, 618523 (3)	y	y	y	y	y	y
IL6R	HGNC:6019	618944	HYPER-IgE RECURRENT INFECTION SYNDROME 5, AUTOSOMAL RECESSIVE	Hyper-IgE recurrent infection syndrome 5, autosomal recessive	Hyper-IgE recurrent infection syndrome 5, autosomal recessive, 618944 (3)	y	y	y	y	y	y
STAT3	HGNC:11364	147060	HYPER-IgE RECURRENT INFECTION SYNDROME 1, AUTOSOMAL DOMINANT	Hyper-IgE recurrent infection syndrome	Hyper-IgE recurrent infection syndrome, 147060 (3)	y	y	y	y	y	y
DOCK8	HGNC:19191	243700	HYPER-IgE RECURRENT INFECTION SYNDROME 2, AUTOSOMAL RECESSIVE	Hyper-IgE recurrent infection syndrome, autosomal recessive	Hyper-IgE recurrent infection syndrome, autosomal recessive, 243700 (3)	y	y	y	y	y	y
CLCN2	HGNC:2020	605635	HYPERALDOSTERONISM, FAMILIAL, TYPE II	Hyperaldosteronism, familial, type II	Hyperaldosteronism, familial, type II, 605635 (3)	y	y	y	y	y	y
KCNJ5	HGNC:6266	613677	HYPERALDOSTERONISM, FAMILIAL, TYPE III	Hyperaldosteronism, familial, type III	Hyperaldosteronism, familial, type III, 613677 (3)	y	y	y	y	y	y
CACNA1H	HGNC:1395	617027	HYPERALDOSTERONISM, FAMILIAL, TYPE IV	Hyperaldosteronism, familial, type IV	Hyperaldosteronism, familial, type IV, 617027 (3)	y	y	y	y	y	y
CETP	HGNC:1869	143470	HYPERALPHALIPOPROTEINEMIA 1	Hyperalphalipoproteinemia	Hyperalphalipoproteinemia, 143470 (3)	y	y	y	y	y	y
CA5A	HGNC:1377	615751	CARBONIC ANHYDRASE VA DEFICIENCY, HYPERAMMONEMIA DUE TO	Hyperammonemia due to carbonic anhydrase VA deficiency	Hyperammonemia due to carbonic anhydrase VA deficiency, 615751 (3)	y	y	y	y	y	y
CYP21A2	HGNC:2600	201910	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 21-HYDROXYLASE DEFICIENCY	Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency	Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency, 201910 (3)	y	y	y	y	y	y
SLCO1B1	HGNC:10959	237450	HYPERBILIRUBINEMIA, ROTOR TYPE	Hyperbilirubinemia, Rotor type, digenic	Hyperbilirubinemia, Rotor type, digenic, 237450 (3)	y	y	y	y	y	y
SLCO1B3	HGNC:10961	237450	HYPERBILIRUBINEMIA, ROTOR TYPE	Hyperbilirubinemia, Rotor type, digenic	Hyperbilirubinemia, Rotor type, digenic, 237450 (3)	y	y	y	y	y	y
UGT1A1	-	237900	HYPERBILIRUBINEMIA, TRANSIENT FAMILIAL NEONATAL	Hyperbilirubinemia, familial transient neonatal	Hyperbilirubinemia, familial transient neonatal, 237900 (3)	n	y	y	y	y	n
BLVRA	HGNC:1062	614156	HYPERBILIVERDINEMIA	Hyperbiliverdinemia	Hyperbiliverdinemia, 614156 (3)	y	y	y	y	y	y
CYP24A1	HGNC:2602	143880	HYPERCALCEMIA, INFANTILE, 1	Hypercalcemia, infantile, 1	Hypercalcemia, infantile, 1, 143880 (3)	y	y	y	y	y	y
SLC34A1	HGNC:11019	616963	HYPERCALCEMIA, INFANTILE, 2	Hypercalcemia, infantile, 2	Hypercalcemia, infantile, 2, 616963 (3)	y	y	y	y	y	y
HCA1	HGNC:4532	-	NA	Hypercalciuria, absorptive (2)	Hypercalciuria, absorptive (2)	n	n	y	n	y	y
CA12	HGNC:1371	143860	HYPERCHLORHIDROSIS, ISOLATED	Hyperchlorhidrosis, isolated	Hyperchlorhidrosis, isolated, 143860 (3)	y	y	y	y	y	y
TJP2	-	607748	HYPERCHOLANEMIA, FAMILIAL 1	Hypercholanemia, familial 1	Hypercholanemia, familial 1, 607748 (3)	n	y	y	y	y	n
SLC10A1	HGNC:10905	619256	HYPERCHOLANEMIA, FAMILIAL, 2	Hypercholanemia, familial 2	Hypercholanemia, familial 2, 619256 (3)	y	y	y	y	y	y
LDLR	HGNC:6547	143890	HYPERCHOLESTEROLEMIA, FAMILIAL, 1	Hypercholesterolemia, familial, 1	Hypercholesterolemia, familial, 1, 143890 (3)	y	y	y	y	y	y
APOB	HGNC:603	144010	HYPERCHOLESTEROLEMIA, FAMILIAL, 2	Hypercholesterolemia, familial, 2	Hypercholesterolemia, familial, 2, 144010 (3)	y	y	y	y	y	y
PCSK9	HGNC:20001	603776	HYPERCHOLESTEROLEMIA, FAMILIAL, 3	Hypercholesterolemia, familial, 3	Hypercholesterolemia, familial, 3, 603776 (3)	y	y	y	y	y	y
LDLRAP1	HGNC:18640	603813	HYPERCHOLESTEROLEMIA, FAMILIAL, 4	Hypercholesterolemia, familial, 4	Hypercholesterolemia, familial, 4, 603813 (3)	y	y	y	y	y	y
APOA5	HGNC:17288	144650	HYPERLIPOPROTEINEMIA, TYPE V	Hyperchylomicronemia, late-onset	Hyperchylomicronemia, late-onset, 144650 (3)	y	y	y	y	y	y
GLRA1	HGNC:4326	149400	HYPEREKPLEXIA 1	Hyperekplexia 1	Hyperekplexia 1, 149400 (3)	y	y	y	y	y	y
GLRB	HGNC:4329	614619	HYPEREKPLEXIA 2	Hyperekplexia 2	Hyperekplexia 2, 614619 (3)	y	y	y	y	y	y
SLC6A5	HGNC:11051	614618	HYPEREKPLEXIA 3	Hyperekplexia 3	Hyperekplexia 3, 614618 (3)	y	y	y	y	y	y
ATAD1	HGNC:25903	618011	HYPEREKPLEXIA 4	Hyperekplexia 4	Hyperekplexia 4, 618011 (3)	y	y	y	y	y	y
PDGFRA	HGNC:8803	607685	HYPEREOSINOPHILIC SYNDROME, IDIOPATHIC	Hypereosinophilic syndrome, idiopathic, resistant to imatinib	Hypereosinophilic syndrome, idiopathic, resistant to imatinib, 607685 (3)	y	y	y	y	y	y
FTL	HGNC:3999	600886	HYPERFERRITINEMIA WITH OR WITHOUT CATARACT	Hyperferritinemia-cataract syndrome	Hyperferritinemia-cataract syndrome, 600886 (3)	y	y	y	y	y	y
LIAS	HGNC:16429	614462	HYPERGLYCINEMIA, LACTIC ACIDOSIS, AND SEIZURES	Hyperglycinemia, lactic acidosis, and seizures	Hyperglycinemia, lactic acidosis, and seizures, 614462 (3)	y	y	y	y	y	y
SLC36A2	HGNC:18762	138500	HYPERGLYCINURIA	Hyperglycinuria	Hyperglycinuria, 138500 (3)	y	y	y	y	y	y
SLC6A19	HGNC:27960	138500	HYPERGLYCINURIA	Hyperglycinuria	Hyperglycinuria, 138500 (3)	y	y	y	y	y	y
SLC6A20	HGNC:30927	138500	HYPERGLYCINURIA	Hyperglycinuria	Hyperglycinuria, 138500 (3)	y	y	y	y	y	y
HHPP	-	-	NA	Hyperhidrosis palmaris et plantaris (2)	Hyperhidrosis palmaris et plantaris (2)	n	n	y	n	y	n
ABCC8	HGNC:59	256450	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 1	Hyperinsulinemic hypoglycemia, familial, 1	Hyperinsulinemic hypoglycemia, familial, 1, 256450 (3)	y	y	y	y	y	y
KCNJ11	HGNC:6257	601820	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 2	Hyperinsulinemic hypoglycemia, familial, 2	Hyperinsulinemic hypoglycemia, familial, 2, 601820 (3)	y	y	y	y	y	y
GCK	HGNC:4195	602485	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 3	Hyperinsulinemic hypoglycemia, familial, 3	Hyperinsulinemic hypoglycemia, familial, 3, 602485 (3)	y	y	y	y	y	y
HADHSC	HGNC:4799	609975	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 4	Hyperinsulinemic hypoglycemia, familial, 4	Hyperinsulinemic hypoglycemia, familial, 4, 609975 (3)	y	y	y	y	y	y
INSR	HGNC:6091	609968	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 5	Hyperinsulinemic hypoglycemia, familial, 5	Hyperinsulinemic hypoglycemia, familial, 5, 609968 (3)	y	y	y	y	y	y
SLC16A1	HGNC:10922	610021	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 7	Hyperinsulinemic hypoglycemia, familial, 7	Hyperinsulinemic hypoglycemia, familial, 7, 610021 (3)	y	y	y	y	y	y
SLC25A36	HGNC:25554	620211	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 8	Hyperinsulinemic hypoglycemia, familial, 8	Hyperinsulinemic hypoglycemia, familial, 8, 620211 (3)	y	y	y	y	y	y
GLUD1	HGNC:4335	606762	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 6	Hyperinsulinism-hyperammonemia syndrome	Hyperinsulinism-hyperammonemia syndrome, 606762 (3)	y	y	y	y	y	y
SCN4A	HGNC:10591	170500	HYPERKALEMIC PERIODIC PARALYSIS	Hyperkalemic periodic paralysis, type 2	Hyperkalemic periodic paralysis, type 2, 170500 (3)	y	y	y	y	y	y
KRIT1	HGNC:1573	116860	CEREBRAL CAVERNOUS MALFORMATIONS	Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations	Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations, 116860 (3)	y	y	y	y	y	y
HYPLIP2	-	-	NA	Hyperlipidemia, combined, 2 (2)	Hyperlipidemia, combined, 2 (2)	n	n	y	n	y	n
